risk_rank,company,primary_product,complaint_count,untimely_rate_pct,dispute_rate_pct,states,peak_monthly_complaints,maximum_monthly_growth_pct,risk_score
204,"American Collections Enterprise, Inc.",Debt collection,2,0.0,0.0,1,2,0.0,26.92
205,"American First Finance, Inc.","Payday loan, title loan, personal loan, or advance loan",2,0.0,0.0,2,2,0.0,26.92
206,"Americas Car-Mart, Inc.",Vehicle loan or lease,2,0.0,0.0,2,2,0.0,26.92
207,"Ava Finance, Inc",Credit card,2,0.0,0.0,2,2,0.0,26.92
208,"Avant Holding Company, Inc.",Credit card,2,0.0,0.0,2,2,0.0,26.92
209,BOEING EMPLOYEES' CREDIT UNION,Credit reporting or other personal consumer reports,2,0.0,0.0,1,2,0.0,26.92
210,Blackhawk Network Holdings Inc.,Prepaid card,2,0.0,0.0,2,2,0.0,26.92
211,"Blitt and Gaines, P.C.",Debt collection,2,0.0,0.0,2,2,0.0,26.92
212,"Bull City Financial Solutions, Inc",Debt collection,2,0.0,0.0,2,2,0.0,26.92
213,"Burke Moore Law Group, LLP",Debt collection,2,0.0,0.0,1,2,0.0,26.92
214,"Checkr, Inc",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
215,"Credit Systems International, Inc.",Debt collection,2,0.0,0.0,2,2,0.0,26.92
216,DigniFi,Credit card,2,0.0,0.0,2,2,0.0,26.92
217,"EGL US, LLC",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
218,"Esusu, Inc.",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
219,"F.H. Cann & Associates, Inc.",Debt collection,2,0.0,0.0,2,2,0.0,26.92
220,FISERV FINXACT CORE,Checking or savings account,2,0.0,0.0,2,2,0.0,26.92
221,FORD MOTOR CREDIT CO.,Debt collection,2,0.0,0.0,2,2,0.0,26.92
222,"FactorTrust, Inc.",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
223,"Financial Management Solutions, LLC",Debt collection,2,0.0,0.0,2,2,0.0,26.92
224,First Credit Services Inc.,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
225,"First Help Financial, LLC",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
226,"January Technologies, Inc",Debt collection,2,0.0,0.0,2,2,0.0,26.92
227,"King of Credit Financial, Inc",Credit reporting or other personal consumer reports,2,0.0,0.0,1,2,0.0,26.92
228,"Kinum, Inc., Indianapolis, IN Branch",Debt collection,2,0.0,0.0,2,2,0.0,26.92
229,Klarna AB,"Payday loan, title loan, personal loan, or advance loan",2,0.0,0.0,2,2,0.0,26.92
230,Knight Adjustment Bureau,Debt collection,2,0.0,0.0,1,2,0.0,26.92
231,Kovo,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
232,LJ Ross Associates,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
233,M&T BANK CORPORATION,"Money transfer, virtual currency, or money service",2,0.0,0.0,2,2,0.0,26.92
234,"MARINER FINANCE, LLC",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
235,"MRS BPO, LLC",Debt collection,2,0.0,0.0,2,2,0.0,26.92
236,Mercedes Benz Financial Services,Credit reporting or other personal consumer reports,2,0.0,0.0,1,2,0.0,26.92
237,Mercury Financial Intermediate LLC,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
238,MicroBilt / PRBC (formerly CL Verify),Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
239,"Milliman, Inc.",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
240,NEW YORK COMMUNITY BANCORP INC,Credit card,2,0.0,0.0,2,2,0.0,26.92
241,"Paramount GR Holdings, LLC","Payday loan, title loan, personal loan, or advance loan",2,0.0,0.0,2,2,0.0,26.92
242,"PatientFi, Inc.",Debt collection,2,0.0,0.0,1,2,0.0,26.92
243,"Professional Debt Mediation, Inc.",Debt collection,2,0.0,0.0,2,2,0.0,26.92
244,"Propel, Inc.",Checking or savings account,2,0.0,0.0,2,2,0.0,26.92
245,RANDOLPH-BROOKS FEDERAL CREDIT UNION,Credit card,2,0.0,0.0,1,2,0.0,26.92
246,Rosebud Economic Development Corporation,"Payday loan, title loan, personal loan, or advance loan",2,0.0,0.0,2,2,0.0,26.92
247,SG and Associates,Debt collection,2,0.0,0.0,2,2,0.0,26.92
248,SLM CORPORATION,Student loan,2,0.0,0.0,2,2,0.0,26.92
249,STATE EMPLOYEES CREDIT UNION,Credit reporting or other personal consumer reports,2,0.0,0.0,1,2,0.0,26.92
250,"Sentry Recovery and Collections, Inc.",Debt collection,2,0.0,0.0,2,2,0.0,26.92
251,SinglePoint GI,Debt collection,2,0.0,0.0,2,2,0.0,26.92
252,"Skrill USA, Inc.","Money transfer, virtual currency, or money service",2,0.0,0.0,2,2,0.0,26.92
253,Southern Management Systems Inc.,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
254,"Sparrow Financial, Inc.",Credit reporting or other personal consumer reports,2,0.0,0.0,1,2,0.0,26.92
255,Sterling Infosystems Inc.,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
256,"Synerprise Consulting Services, Inc.",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
257,TekCollect Inc.,Debt collection,2,0.0,0.0,2,2,0.0,26.92
258,"The CBE Group, Inc.",Debt collection,2,0.0,0.0,2,2,0.0,26.92
