agency,payee_name,check_amount,issue_date,spending_category,expense_category,contract_id,duplicate_like,missing_contract,round_amount,category_outlier,anomaly_score,rule_count,evidence_score
Department of Information Technology and Telecommunications,KYNDRYL INC,120000.0,2024-01-09,Contracts,PROF SERV COMPUTER SERVICES,CT185820228808430,1,0,1,0,0.7453957218520078,2,78.93243333333334
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-01-08,Contracts,MUNICIPAL WASTE EXPORT,CT182720171418031,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-01-08,Contracts,MUNICIPAL WASTE EXPORT,CT182720171418031,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-02-20,Contracts,MUNICIPAL WASTE EXPORT,CT182720080030327,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-02-20,Contracts,MUNICIPAL WASTE EXPORT,CT182720080004813,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-02-20,Contracts,MUNICIPAL WASTE EXPORT,CT182720080030327,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-02-20,Contracts,MUNICIPAL WASTE EXPORT,CT182720080004813,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-02-20,Contracts,MUNICIPAL WASTE EXPORT,CT182720141412001,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-02-20,Contracts,MUNICIPAL WASTE EXPORT,CT182720080030327,1,0,1,0,0.7461609106785028,2,77.65133333333333
Department of Sanitation,WASTE MANAGEMENT OF NEW YORK LLC,100000.0,2024-02-20,Contracts,MUNICIPAL WASTE EXPORT,CT182720141412001,1,0,1,0,0.7461609106785028,2,77.65133333333333
Pension Contributions,NYCERS-PENSION FUNDING,99999999.0,2024-02-20,Contracts,CONTINGENT RESERVE FUND,PON10092024PENSION,0,0,0,1,0.7413390145419503,1,76.51396666666666
Pension Contributions,NYCERS-PENSION FUNDING,99999999.0,2024-03-20,Contracts,CONTINGENT RESERVE FUND,PON10092024PENSION,0,0,0,1,0.7413390145419503,1,76.51396666666666
Pension Contributions,FIRE-PENSION FUNDING,99999999.0,2024-01-18,Contracts,FIRE ACTUARIAL PENSION FUND,PON1057FY2024-FPF2,0,0,0,1,0.7410670032521677,1,76.50676666666666
Pension Contributions,FIRE-PENSION FUNDING,99999999.0,2024-05-17,Contracts,FIRE ACTUARIAL PENSION FUND,PON1057FY2024-FPF2,0,0,0,1,0.7410670032521677,1,76.50676666666666
Housing Preservation and Development,NEW YORK CITY HOUSING AUTHORITY,99000000.0,2024-02-26,Contracts,PAY TO NYC HOUSING AUTHORITY,PON180620242005386,0,0,1,0,0.7381042298498528,1,76.49286666666666
Pension Contributions,TRS-PENSION FUNDING,99999999.0,2023-10-18,Contracts,TEACH RET SYS CONTINGNT RES SY,PON104120242000137,0,0,0,1,0.7366347181940168,1,76.49146666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,144085954.76,2023-12-29,Payroll,Payroll Summary,,0,0,0,1,0.7325879918175328,1,76.48756666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,141772087.47,2024-05-15,Payroll,Payroll Summary,,0,0,0,1,0.7325879918175328,1,76.48676666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,139030567.75,2024-05-31,Payroll,Payroll Summary,,0,0,0,1,0.7325879918175328,1,76.48596666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,125569028.54,2023-08-31,Payroll,Payroll Summary,,0,0,0,1,0.7323126774469509,1,76.47346666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,76890188.91,2023-07-14,Payroll,Payroll Summary,,0,0,0,1,0.7325879918175328,1,76.44996666666667
Pension Contributions,TRS-PENSION FUNDING,42844145.0,2023-12-21,Contracts,TEACH RET SYS CONTINGNT RES SY,PON104120242000137,0,0,0,1,0.7355280015694461,1,76.44026666666667
Department of Information Technology and Telecommunications,CDW GOVERNMENT LLC,70093818.73,2024-02-20,Capital Contracts,CAPITAL ONLY FUNDED SBITA,DO185820242006362,0,0,0,1,0.7283202034289936,1,76.42846666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,56771386.8,2023-09-25,Payroll,Payroll Summary,,0,0,0,1,0.7306629626505768,1,76.42586666666666
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,99999000.0,2023-07-05,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,0,0,0,1,0.7171273290404864,1,76.42406666666666
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,99999000.0,2023-09-14,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,0,0,0,1,0.7171273290404864,1,76.42406666666666
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,99999000.0,2024-03-15,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,0,0,0,1,0.7171273290404864,1,76.42406666666666
Health and Hospitals Corporation,NEW YORK CITY HEALTH AND HOSP,25000000.0,2024-05-30,Others,PAYMENTS TO HHC,,0,0,1,0,0.7373580353519249,1,76.41846666666666
Department of Education,FRINGE BENEFITS - PS,82961031.24,2024-05-31,Payroll,Payroll Summary,,0,0,0,1,0.7183418583992189,1,76.41616666666667
Department of Education,FRINGE BENEFITS - PS,82207434.16,2023-12-29,Payroll,Payroll Summary,,0,0,0,1,0.7183418583992189,1,76.41456666666666
Department of Education,FRINGE BENEFITS - PS,81271339.21,2023-10-31,Payroll,Payroll Summary,,0,0,0,1,0.7183418583992189,1,76.41376666666666
Pension Contributions,FIRE-PENSION FUNDING,22744607.0,2024-04-17,Contracts,FIRE ACTUARIAL PENSION FUND,PON1057FY2024-FPF2,0,0,0,1,0.7363466959415813,1,76.41326666666666
Department of Education,FRINGE BENEFITS - PS,81165948.44,2023-10-16,Payroll,Payroll Summary,,0,0,0,1,0.7183418583992189,1,76.41296666666666
